Type,Brand,Name,Price,Image,Network,Launch,Body,,,,,Display,,,,,,Platform,,,,,,,Memory,,,,Camera,,,,Sound,,,,Comms,,,,,,Feature,,,,,Battery,,,,Misc,,,,Tests,,,,,,KEYPAD THINGS,,,RATINGS
,,,,,,,Dimension,Weight,Build,SIM slots,SIM type,Type,Size,Resolution,Multitouch,Protection,Additional,OS,Chipset,Chipset2,CPU,CPU2,GPU,GPU2,SD Type,SD Size,Internal,RAM,Primary,Feature,Video,Secondary,Alert Type,Loudspeaker,Headphone,Additional,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Messaging,Browser,Java,Additional,Battery,Stand-by,Talk time,Music play,Colours,SAR US,SAR EU,Price group,Performance,Display,Camera,Loudspeaker,Audio Quality,Battery Life,Games,Phonebook,Call records,
"""Smartphone""","""Samsung""","""J7 Prime""",""" """,""" ""","""GSM/HSPA/LTE""","""Available. Released 2016, August""","""151.7 x 75 x 8 mm (5.97 x 2.95 x 0.31 in)""","""167 g (5.89 oz)""",""" ""","""2""","""Nano sim""","""PLS TFT capacitive touchscreen, 16M colors""","""5.5 inches ""","""1080 x 1920 pixels ""","""Yes""","""Corning Gorilla Glass (market dependent)""",""" ""","""Android 6.0.1 (Marshmallow)""","""Exynos 7870 Octa""",""" ""","""Octa-core 1.6 GHz Cortex-A53""",""" ""","""Mali-T830MP2""",""" ""","""microSD""","""256 GB""","""32 GB""","""3 GB""","""13 MP, f/1.9, 28mm, autofocus, LED flash""","""Geo-tagging, touch focus, face detection, panorama, HDR""","""1080p@30fps""","""8 MP, f/1.9""","""Vibration; MP3, WAV ringtones""","""Yes""","""Yes""",""" ""","""Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot""","""4.1, A2DP, LE""","""Yes, with A-GPS, GLONASS/ BDS (region dependent)""",""" ""","""FM radio""","""microUSB 2.0, USB On-The-Go""","""Fingerprint (front-mounted), accelerometer, proximity""","""SMS(threaded view), MMS, Email, Push Mail, IM""","""HTML5""","""No""",""" ""","""Non-removable Li-Ion 3300 mAh battery""",""" ""","""Up to 21 h (3G)""","""Up to 84 h""","""Black, Gold""",""" ""","""0.40 W/kg (head)     1.40 W/kg (body)    ""","""6/10""",""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" ""","""5"""
"""Smartphone""","""Samsung""","""Galaxy S8""",""" """,""" ""","""GSM/HSPA/LTE""","""Available. Released 2017, April""","""148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in)""","""155 g (5.47 oz)""","""Corning Gorilla Glass 5 back panel""","""2""","""Nano-SIM""","""Super AMOLED capacitive touchscreen, 16M colors""","""5.8 inches (~83.6% screen-to-body ratio)""","""1440 x 2960 pixels (~570 ppi pixel density)""","""Yes""","""Corning Gorilla Glass 5""","""- 3D Touch (home button only)
- Always-on display
- TouchWiz UI""","""Android 7.0 (Nougat)""","""Exynos 8895 Octa - EMEA""","""Qualcomm MSM8998 Snapdragon 835 - US model""","""Octa-core (4x2.3 GHz & 4x1.7 GHz) - EMEA""","""Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo) - US model""","""Mali-G71 MP20 - EMEA""","""Adreno 540 - US model""","""microSD""","""256 GB""","""64 GB""","""4 GB""","""12 MP, f/1.7, 26mm, phase detection autofocus, OIS, LED flash""","""1/2.5"" sensor size, 1.4 µm pixel size, geo-tagging, simultaneous 4K video and 9MP image recording, touch focus, face/smile detection, Auto HDR, panorama""","""2160p@30fps, 1080p@60fps, HDR, dual-video rec.""","""8 MP, f/1.7, autofocus, 1440p@30fps, dual video call, Auto HDR""","""Vibration; MP3, WAV ringtones""","""Yes""","""Yes""",""" ""","""Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot""","""5.0, A2DP, LE, aptX""",""" Yes, with A-GPS, GLONASS, BDS, GALILEO""","""Yes""","""No""","""3.1, Type-C 1.0 reversible connector""","""Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2""","""SMS(threaded view), MMS, Email, Push Mail, IM""","""HTML""","""No""",""" ""","""Non-removable Li-Ion 3000 mAh battery""",""" """,""" """,""" ""","""Midnight Black, Orchid Gray, Arctic Silver, Coral Blue, Maple Gold""",""" ""","""0.32 W/kg (head)     1.27 W/kg (body) ""","""9/10""","""Basemark OS II: 3272 / Basemark X: 42370""","""Contrast ratio: Infinite (nominal), 4.768 (sunlight)""","""-""","""Voice 68dB / Noise 69dB / Ring 70dB""","""Noise -92.5dB / Crosstalk -92.8dB""","""Endurance rating 84h""",""" """,""" """,""" ""","""4.8"""
"""Smartphone""","""Blackberry""","""Z10""",""" """,""" ""","""GSM/CDMA/HSPA/LTE""","""Available. 2013, January""","""130 x 65.6 x 9 mm (5.12 x 2.58 x 0.35 in)""","""137.5 g (4.83 oz)""",""" ""","""1""","""Micro-SIM""","""Capacitive touchscreen, 16M colors""","""4.2 inches (~58.9% screen-to-body ratio)""","""768 x 1280 pixels (~355 ppi pixel density)""","""Yes""",""" """,""" ""","""BlackBerry OS 10, upgradable to 10.3.1""","""Qualcomm MSM8960 Snapdragon S4 Plus""",""" ""","""Dual-core 1.5 GHz Krait""",""" ""","""Adreno 225""",""" ""","""microSD""","""64 GB""","""16 GB""","""2 GB""","""8 MP, f/2.2, 31mm, autofocus, LED flash""","""Geo-tagging, touch focus, face detection, HDR, panorama""","""1080p@30fps""","""2 MP, 720p@30fps""","""Vibration; MP3, WAV ringtones""","""Yes""","""Yes""",""" ""","""Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot""","""4.0, A2DP, LE""","""Yes, with A-GPS""","""Yes""","""No""","""microUSB 2.0""","""Accelerometer, gyro, proximity, compass""","""SMS, MMS, Email, Push Email, IM, BBM 6""","""HTML5""","""Yes, MIDP 2.1""",""" ""","""Removable Li-Ion 1800 mAh battery""","""Up to 312 h""","""Up to 10 h""",""" ""","""Black, White""","""1.07 W/kg (head)     1.07 W/kg (body)    ""","""0.87 W/kg (head)     0.99 W/kg (body)    ""","""5/10""",""" ""","""Contrast ratio: 1532 (nominal) / 2.051:1 (sunlight)""","""Photo / Video""","""Voice 70dB / Noise 67dB / Ring 73dB""","""Noise -82.8dB / Crosstalk -80.5dB""","""Endurance rating 46h""",""" """,""" """,""" ""","""4"""
"""Smartphone""","""Blackberry""","""Aurora""",""" """,""" ""","""GSM/HSPA/LTE""","""Available. 2017, March""","""152 x 76.8 x 8.5 mm (5.98 x 3.02 x 0.33 in)""","""178 g (6.28 oz)""",""" ""","""2""","""Micro-SIM""","""IPS LCD capacitive touchscreen, 16M colors""","""5.5 inches (~71.4% screen-to-body ratio)""","""720 x 1280 pixels (~267 ppi pixel density)""","""Yes""",""" """,""" ""","""Android 7.0 (Nougat)""","""Qualcomm MSM8917 Snapdragon 425""",""" ""","""Quad-core 1.4 GHz Cortex-A53""",""" ""","""Adreno 308""",""" ""","""microSD""","""256 GB""","""32 GB""","""4 GB""","""13 MP, autofocus, dual-LED flash""","""Geo-tagging, touch focus, face detection, HDR, panorama""","""1080p@30fps""","""8 MP, f/1.2""","""Vibration; MP3, WAV ringtones""","""Yes""","""Yes""",""" ""","""Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot""","""4.0, A2DP, EDR, LE""","""Yes, with A-GPS, GLONASS, BDS""",""" ""","""No""","""microUSB 2.0""","""Accelerometer, proximity, compass""","""SMS(threaded view), MMS, Email, Push Mail, IM""","""HTML5""","""No""",""" ""","""Li-Ion 3000 mAh battery""",""" """,""" """,""" ""","""Black, Silver, Gold""",""" """,""" ""","""5/10""",""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" ""","""4.3"""
"""Smartphone""","""Nokia""","""6""",""" """,""" ""","""GSM/HSPA/LTE""","""Available. Released 2017, January""","""154 x 75.8 x 7.9 mm (6.06 x 2.98 x 0.31 in)""","""169 g (5.96 oz)""",""" ""","""2""","""Nano-SIM""","""IPS LCD capacitive touchscreen, 16M colors""","""5.5 inches (~70.7% screen-to-body ratio)""","""1080 x 1920 pixels (~403 ppi pixel density)""","""Yes""","""Corning Gorilla Glass 3""",""" ""","""Android 7.1.1 (Nougat)""","""Qualcomm MSM8937 Snapdragon 430""",""" ""","""Octa-core 1.4 GHz Cortex-A53""",""" ""","""Adreno 505""",""" ""","""microSD""","""256 GB""","""32 GB""","""3 GB""","""16 MP, f/2.0, phase detection autofocus, dual-LED (dual tone) flash""","""1.0 µm pixel size, geo-tagging, touch focus, face detection, panorama, HDR""","""1080p@30fps""","""8 MP, f/2.0, 1.12 µm pixel size, 1080p""","""Vibration; MP3, WAV ringtones""","""Yes, with stereo speakers""","""Yes""","""Dolby Atmos sound enhancement, Active noise cancellation with dedicated mic""","""Yes""","""Yes""","""Yes, with A-GPS, GLONASS""","""Yes""","""FM radio""","""microUSB 2.0, USB On-The-Go""","""Fingerprint (front-mounted), accelerometer, gyro, proximity, compass""","""SMS(threaded view), MMS, Email, Push Mail, IM""","""HTML5""","""No""",""" ""","""Non-removable Li-Ion 3000 mAh battery""","""Up to 768 h (3G)""","""Up to 18 h (3G)""","""Up to 22 h""","""Arte Black, Matte Black, Tempered Blue, Silver, Copper""",""" """,""" ""","""5/10""","""Basemark OS II: 1041 / Basemark X: 7522""","""Contrast ratio: 1385 (nominal), 3.244 (sunlight)""","""Photo / Video""","""Voice 63dB / Noise 70dB / Ring 85dB""","""Noise -91.8dB / Crosstalk -91.9dB""","""Endurance rating 75h""",""" """,""" """,""" ""","""3"""
"""Smartphone""","""Nokia""","""Lumia 520""",""" """,""" ""","""GSM/HSPA/LTE""","""Available. Released 2013, April""","""119.9 x 64 x 9.9 mm, 75.7 cc (4.72 x 2.52 x 0.39 in)""","""124 g (4.37 oz)""",""" ""","""1""","""Micro-SIM""","""IPS LCD capacitive touchscreen, 16M colors""","""4.0 inches (~59.3% screen-to-body ratio)""","""480 x 800 pixels (~233 ppi pixel density)""","""Yes""","""Scratch-resistant glass""",""" ""","""Microsoft Windows Phone 8, upgradeable to 8.1""","""Qualcomm MSM8227""",""" ""","""Dual-core 1.0 GHz""",""" ""","""Adreno 305""",""" ""","""microSD""","""64 GB""","""8 GB""","""512 MB""","""5 MP, f/2.4, 28mm, autofocus""","""1/4"" sensor size, geo-tagging""","""720p@30fps""",""" ""","""Vibration; MP3, WAV ringtones""","""Yes""","""Yes""","""Active noise cancellation with dedicated mic""","""Wi-Fi 802.11 b/g/n, hotspot""","""4.0, A2DP, LE/ aptX after WP8 Denim update""","""Yes, with A-GPS, GLONASS""",""" ""","""FM radio""","""microUSB 2.0""","""Accelerometer, proximity""","""SMS (threaded view), MMS, Email, Push Email, IM""","""HTML5""","""No""",""" ""","""Removable Li-Ion 1430 mAh battery (BL-5J)""","""Up to 360 h (3G)""","""Up to 14 h 40 min (2G) / Up to 9 h 40 min (3G)""","""Up to 61 h""","""Yellow, red, cyan, white/black""","""0.77 W/kg (head)""","""1.09 W/kg (head)    ""","""2/10""",""" ""","""Contrast ratio: 834:1 (nominal) / 1.161:1 (sunlight)""","""Photo / Video""","""Voice 68dB / Noise 69dB / Ring 66dB""","""Noise -82.3dB / Crosstalk -81.8dB""","""Endurance rating 49h""",""" """,""" """,""" ""","""3.4"""
"""Smartphone""","""Sony""","""Xperia XZ Premium""",""" """,""" ""","""GSM/HSPA/LTE""","""Not yet. 2017, June 1st""","""156 x 77 x 7.9 mm (6.14 x 3.03 x 0.31 in)""","""195 g (6.88 oz)""","""Corning Gorilla Glass 5 back panel""","""2""","""Nano-SIM""","""IPS LCD capacitive touchscreen, 16M colors""","""5.46 inches (~68.4% screen-to-body ratio)""","""3840 x 2160 pixels (~807 ppi pixel density)""","""Yes, up to 10 fingers""","""Corning Gorilla Glass 5""","""- HDR10 compliant
- Triluminos display
- X-Reality Engine""","""Android 7.1 (Nougat)""","""Qualcomm MSM8998 Snapdragon 835""",""" ""","""Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo)""",""" ""","""Adreno 540""",""" ""","""microSD""","""256 GB""","""64 GB""","""4 GB""","""19 MP, f/2.0, 25mm, EIS (gyro), predictive phase detection and laser autofocus, LED flash""","""1/2.3"" sensor size, geo-tagging, touch focus, face detection, HDR, panorama""","""2160p@30fps, 720p@960fps, HDR""","""13 MP, f/2.0, 22mm, 1/3"" sensor size, 1.12 µm pixel size, 1080p""","""Vibration; MP3, WAV ringtones""","""Yes, with stereo speakers""","""Yes""","""- 24-bit/192kHz audio
- Active noise cancellation with dedicated mic""","""Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot""","""5.0, A2DP, aptX, LE""","""Yes, with A-GPS, GLONASS, BDS, GALILEO""","""Yes""","""No""","""3.1, Type-C 1.0 reversible connector; USB Host""","""Fingerprint (side-mounted, region dependent), accelerometer, gyro, proximity, barometer, compass, color spectrum""","""SMS (threaded view), MMS, Email, IM, Push Email""","""HTML5""","""No""",""" ""","""Non-removable Li-Ion 3230 mAh battery""",""" """,""" """,""" ""","""Luminous Chrome, Deepsea Black, Bronze Pink""",""" """,""" ""","""9/10""",""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" ""","""3.3"""
"""Smartphone""","""Sony""","""Xperia X5""",""" """,""" ""","""GSM/HSPA/LTE""","""Available. 2015, September""","""146 x 72 x 7.3 mm (5.75 x 2.83 x 0.29 in)""","""154 g (5.43 oz)""",""" ""","""1""","""Nano-SIM""","""IPS LCD capacitive touchscreen, 16M colors""","""5.2 inches (~69.6% screen-to-body ratio)""","""1080 x 1920 pixels (~428 ppi pixel density)""","""Yes, up to 10 fingers""","""Scratch-resistant glass, oleophobic coating""",""" ""","""Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)""","""Qualcomm MSM8994 Snapdragon 810""",""" ""","""Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57)""",""" ""","""Adreno 430""",""" ""","""microSD""","""256 GB""","""32 GB""","""3 GB""","""23 MP, f/2.0, 24mm, phase detection autofocus, LED flash""","""1/2.3"" sensor size, geo-tagging, touch focus, face detection, HDR, panorama""","""2160p@30fps, 1080p@60fps, 720p@120fps, HDR""","""5.1 MP, f/2.4, 1080p, HDR""","""Vibration; MP3, WAV ringtones""","""Yes, with stereo speakers""","""Yes""","""- 24-bit/192kHz audio
- Active noise cancellation with dedicated mic""","""Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot""","""4.1, A2DP, aptX""","""Yes, with A-GPS, GLONASS/ BDS (market dependant)""","""Yes""","""FM radio, RDS""","""microUSB 2.0 (MHL 3 TV-out), USB Host""","""Fingerprint (side-mounted; EU model only), accelerometer, gyro, proximity, compass, barometer""","""SMS (threaded view), MMS, Email, IM, Push Email""","""HTML5""","""No""",""" ""","""Non-removable Li-Ion 2900 mAh battery""","""Up to 520 h (2G) / Up to 540 h (3G)""","""Up to 13 h 10 min (2G) / Up to 17 h (3G)""","""Up to 87 h""","""White, Graphite Black, Gold, Green, Pink""","""0.55 W/kg (head)     0.64 W/kg (body)    ""","""0.75 W/kg (head)     0.78 W/kg (body)    ""","""8/10""","""Basemark OS II: 1354 / Basemark X: 24941""","""Contrast ratio: 986 (nominal), 2.88(sunlight)""","""Photo / Video""","""Voice 65dB / Noise 62dB / Ring 66dB""","""Noise -95.5dB / Crosstalk -94.8dB""","""Endurance rating 48h""",""" """,""" """,""" ""","""4.2"""
"""Smartphone""","""LG""","""G6""",""" """,""" ""","""GSM/CDMA/HSPA/LTE""","""Available. Released 2017, March""","""148.9 x 71.9 x 7.9 mm (5.86 x 2.83 x 0.31 in)""","""163 g (5.75 oz)""","""Corning Gorilla Glass 5 back panel""","""2""","""Nano-SIM""","""IPS LCD capacitive touchscreen, 16M colors""","""5.7 inches (~78.6% screen-to-body ratio)""","""1440 x 2880 pixels (~564 ppi pixel density)""","""Yes""","""Corning Gorilla Glass 3""","""- Dolby Vision/HDR10 compliant
- Always-on display
- LG UX 6.0 UI""","""Android 7.0 (Nougat)""","""Qualcomm MSM8996 Snapdragon 821""",""" ""","""Quad-core (2x2.35 GHz Kryo & 2x1.6 GHz Kryo)""",""" ""","""Adreno 530""",""" ""","""microSD""","""256 GB""","""32/64 GB""","""4 GB""","""13 MP, (f/1.8, OIS, 3-axis, phase detection AF) + 13 MP (f/2.4, no AF), dual-LED flash""","""1/3"" sensor size, 1.12 µm pixel size, geo-tagging, touch focus, face detection, HDR""","""2160p@30fps, 1080p@30/60fps, HDR, 24-bit/192kHz stereo sound rec""","""5 MP, f/2.2, 1080p""","""Vibration; MP3, WAV ringtones""","""Yes""","""Yes""","""- 32-bit/192kHz audio
- Active noise cancellation with dedicated mic""","""Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot""","""4.2, A2DP, LE, aptX HD""","""Yes, with A-GPS, GLONASS, BDS""","""Yes""","""FM radio (market dependent)""","""3.1, Type-C 1.0 reversible connector, USB On-The-Go""","""Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer""","""SMS(threaded view), MMS, Email, Push Mail, IM""","""HTML5""","""No""",""" ""","""Non-removable Li-Po 3300 mAh battery""",""" """,""" """,""" ""","""Mystic white, astro black, ice platinum""",""" ""","""0.23 W/kg (head)     0.15 W/kg (body""","""9/10""","""Basemark OS II: 2291 / Basemark X: 30507""","""Contrast ratio: 2053 (nominal), 3.556 (sunlight)""","""Photo / Video""","""Voice 66dB / Noise 68dB / Ring 74dB""","""Noise -93.3dB / Crosstalk -94.4dB""","""Endurance rating 72h""",""" """,""" """,""" ""","""3.8"""
